trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-154.50801061068958,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-114.63148460845673,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-124.31948868632499,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-40.27316767602137,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,6,-11.669596389016576,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,10,-4.417274622149887,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-68.3026787077289,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-163.14298709434277,"{0: 10, 1: 6, 2: 5, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-72.17289087163293,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,3.5858247102260066,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,20,11.040942522724816,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-163.72294112994848,"{0: 25, 1: 4, 2: 2, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-101.21382970954636,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,4,7.257794108697505,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-0.9066347663616003,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-30.241955026896214,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,18,13.34098337034584,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,5,-29.7016018720551,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,-20.770682312653705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,18,-1.779034758856441,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,5,-41.21787859006675,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,5,21.938408388993274,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,13,31.364066929166153,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-15.511609392108147,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,13,3.123982753145095,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,14,13.97640126827744,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,6,32.14090084207294,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,15,-21.283959107823364,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,2,28.099607692201957,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-80.59437296993927,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
