trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-115.44475169344524,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-144.7917108200313,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-53.28356427864411,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.9960079893439915}",30,0,-202.47335548762405,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9950124791926823}",25,0,-81.12560046143264,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.9940179640539353}",25,0,-171.39728628626466,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-76.47592454753838,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9920319148370607}",30,0,-100.99114009126515,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-204.68720304812788,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-179.75770128743648,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.001, 'e': 0.9890602787753687}",20,0,-161.43152349208898,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-90.3127293098101,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9870841350202876}",30,0,-133.51709466285885,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-93.25472304904275,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-143.7531666699677,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9841273200552851}",30,0,-138.44463685763273,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-48.48831267371538,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-129.76158138809328,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
