trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.9593530970455,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.01881577604496,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.27213104967552,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.5675776270295,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.99713698486104,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.35179936330137,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.03058583167459,"{0: 11, 1: 2, 2: 11, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.81942828042251,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.06559579662302,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.65932743356922,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.03075238618223,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-405.54915612833975,"{0: 13, 1: 2, 2: 11, 3: 3, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.25308320387612,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.06511472050505,"{0: 11, 1: 3, 2: 5, 3: 5, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.75147556167293,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.0055979231726,"{0: 11, 1: 4, 2: 0, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.4397261763888,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-246.9149496271471,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.54727398005622,"{0: 18, 1: 7, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.35735639421332,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-73.9700966733662,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.37003150336977,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.97656397840076,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,9,-53.104475915087626,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.6553688075979,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-68.76289708529468,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-212.34884542715295,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.28076523181554,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.13039232679286,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.73841903607472,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
